P0030;ВАЗ(М74CAN);Нагреватель датчика кислорода до нейтрализатора; обрыв цепи управления
P0031;ВАЗ(М74CAN);Нагреватель датчика кислорода до нейтрализатора; замыкание цепи управления на массу
P0032;ВАЗ(М74CAN);Нагреватель датчика кислорода до нейтрализатора; замыкание цепи управления на борт. сеть
P0036;ВАЗ(М74CAN);Нагреватель датчика кислорода после нейтрализатора; обрыв цепи управления
P0037;ВАЗ(М74CAN);Нагреватель датчика кислорода после нейтрализатора; замыкание цепи управления на массу
P0038;ВАЗ(М74CAN);Нагреватель датчика кислорода после нейтрализатора; замыкание цепи управления на борт. сеть
P0101;ВАЗ(М74CAN);Цепь датчика массового расхода воздуха; выход сигнала из допустимого диапазона
P0102;ВАЗ(М74CAN);Цепь датчика массового расхода воздуха; низкий уровень сигнала
P0103;ВАЗ(М74CAN);Цепь датчика массового расхода воздуха; высокий уровень сигнала
P0106;ВАЗ(М74CAN);Цепь датчика давления воздуха на впуске; выход сигнала из допустимого диапазона
P0107;ВАЗ(М74CAN);Цепь датчика давления воздуха на впуске; низкий уровень сигнала
P0108;ВАЗ(М74CAN);Цепь датчика давления воздуха на впуске; высокий уровень сигнала
P0111;ВАЗ(М74CAN);Цепь датчика температуры впускного воздуха; выход сигнала из допустимого диапазона
P0112;ВАЗ(М74CAN);Цепь датчика температуры впускного воздуха; низкий уровень сигнала
P0113;ВАЗ(М74CAN);Цепь датчика температуры впускного воздуха; высокий уровень сигнала
P0116;ВАЗ(М74CAN);Цепь датчика температуры охлаждающей жидкости; выход сигнала из допустимого диапазона
P0117;ВАЗ(М74CAN);Цепь датчика температуры охлаждающей жидкости; низкий уровень сигнала
P0118;ВАЗ(М74CAN);Цепь датчика температуры охлаждающей жидкости; высокий уровень сигнала
P0120;ВАЗ(М74CAN);Цепь датчика A положения дроссельной заслонки; цепь неисправна
P0121;ВАЗ(М74CAN);Цепь датчика A положения дроссельной заслонки; выход сигнала из допустимого диапазона
P0122;ВАЗ(М74CAN);Цепь датчика A положения дроссельной заслонки; низкий уровень сигнала
P0123;ВАЗ(М74CAN);Цепь датчика A положения дроссельной заслонки; высокий уровень сигнала
P0127;ВАЗ(М74CAN);Температура впускного воздуха; превышение допустимого предела
P0128;ВАЗ(М74CAN);Термостат охлаждающей жидкости; неисправность
P0130;ВАЗ(М74CAN);Датчик кислорода до нейтрализатора; неисправен
P0131;ВАЗ(М74CAN);Цепь датчика кислорода до нейтрализатора; низкий уровень сигнала
P0132;ВАЗ(М74CAN);Цепь датчика кислорода до нейтрализатора; высокий уровень сигнала
P0133;ВАЗ(М74CAN);Цепь датчика кислорода до нейтрализатора; медленный отклик на изменение состава смеси
P0134;ВАЗ(М74CAN);Цепь датчика кислорода до нейтрализатора; нет изменения сигнала
P0135;ВАЗ(М74CAN);Нагреватель датчика кислорода до нейтрализатора; неисправен
P0136;ВАЗ(М74CAN);Датчик кислорода после нейтрализатора; неисправен
P0137;ВАЗ(М74CAN);Цепь датчика кислорода после нейтрализатора; низкий уровень сигнала
P0138;ВАЗ(М74CAN);Цепь датчика кислорода после нейтрализатора; высокий уровень сигнала
P0139;ВАЗ(М74CAN);Цепь датчика кислорода после нейтрализатора; медленный отклик на изменение состава смеси
P0140;ВАЗ(М74CAN);Цепь датчика кислорода после нейтрализатора; нет изменения сигнала
P0141;ВАЗ(М74CAN);Нагреватель датчика кислорода после нейтрализатора; неисправен
P0171;ВАЗ(М74CAN);Система топливоподачи; слишком бедная смесь
P0172;ВАЗ(М74CAN);Система топливоподачи; слишком богатая смесь
P0201;ВАЗ(М74CAN);Форсунка цилиндра 1; обрыв цепи управления
P0202;ВАЗ(М74CAN);Форсунка цилиндра 2; обрыв цепи управления
P0203;ВАЗ(М74CAN);Форсунка цилиндра 3; обрыв цепи управления
P0204;ВАЗ(М74CAN);Форсунка цилиндра 4; обрыв цепи управления
P0217;ВАЗ(М74CAN);Температура двигателя; превышен порог допустимой температуры
P0219;ВАЗ(М74CAN);Обороты двигателя; превышен порог допустимых оборотов
P0220;ВАЗ(М74CAN);Цепь датчика B положения дроссельной заслонки; цепь неисправна
P0221;ВАЗ(М74CAN);Цепь датчика B положения дроссельной заслонки; выход сигнала из допустимого диапазона
P0222;ВАЗ(М74CAN);Цепь датчика B положения дроссельной заслонки; низкий уровень сигнала
P0223;ВАЗ(М74CAN);Цепь датчика B положения дроссельной заслонки; высокий уровень сигнала
P0261;ВАЗ(М74CAN);Форсунка цилиндра 1; замыкание цепи управления на массу
P0262;ВАЗ(М74CAN);Форсунка цилиндра 1; замыкание цепи управления на бортовую сеть
P0264;ВАЗ(М74CAN);Форсунка цилиндра 2; замыкание цепи управления на массу
P0265;ВАЗ(М74CAN);Форсунка цилиндра 2; замыкание цепи управления на бортовую сеть
P0267;ВАЗ(М74CAN);Форсунка цилиндра 3; замыкание цепи управления на массу
P0268;ВАЗ(М74CAN);Форсунка цилиндра 3; замыкание цепи управления на бортовую сеть
P0270;ВАЗ(М74CAN);Форсунка цилиндра 4; замыкание цепи управления на массу
P0271;ВАЗ(М74CAN);Форсунка цилиндра 4; замыкание цепи управления на бортовую сеть
P0297;ВАЗ(М74CAN);Скорость автомобиля; превышен порог допустимой скорости
P0300;ВАЗ(М74CAN);Обнаружены случайные/множественные пропуски воспламенения
P0301;ВАЗ(М74CAN);Цилиндр 1; обнаружены пропуски воспламенения
P0302;ВАЗ(М74CAN);Цилиндр 2; обнаружены пропуски воспламенения
P0303;ВАЗ(М74CAN);Цилиндр 3; обнаружены пропуски воспламенения
P0304;ВАЗ(М74CAN);Цилиндр 4; обнаружены пропуски воспламенения
P0325;ВАЗ(М74CAN);Цепь датчика детонации; неисправность
P0326;ВАЗ(М74CAN);Цепь датчика детонации; выход сигнала из допутимого диапазона
P0327;ВАЗ(М74CAN);Цепь датчика детонации; низкий уровень сигнала
P0328;ВАЗ(М74CAN);Цепь датчика детонации; высокий уровень сигнала
P0335;ВАЗ(М74CAN);Цепь датчика положения коленчатого вала; неисправность
P0336;ВАЗ(М74CAN);Цепь датчика положения коленчатого вала; выход сигнала из допустимого диапазона
P0337;ВАЗ(М74CAN);Цепь датчика положения коленчатого вала; замыкание на массу
P0338;ВАЗ(М74CAN);Цепь датчика положения коленчатого вала; обрыв цепи
P0340;ВАЗ(М74CAN);Цепь датчика положения распредвала; неисправность
P0342;ВАЗ(М74CAN);Цепь датчика положения распредвала; низкий уровень сигнала
P0343;ВАЗ(М74CAN);Цепь датчика положения распредвала; высокий уровень сигнала
P0346;ВАЗ(М74CAN);Цепь датчика положения распредвала; выход сигнала из допустимого диапазона
P0351;ВАЗ(М74CAN);Катушка зажигания цилиндра 1 (1-4); обрыв цепи управления
P0352;ВАЗ(М74CAN);Катушка зажигания цилиндра 2 (2-3); обрыв цепи управления
P0353;ВАЗ(М74CAN);Катушка зажигания цилиндра 3; обрыв цепи управления
P0354;ВАЗ(М74CAN);Катушка зажигания цилиндра 4; обрыв цепи управления
P0363;ВАЗ(М74CAN);Обнаружены пропуски воспламенения; отключена топливоподача в неработающих цилиндрах
P0422;ВАЗ(М74CAN);Эффективность нейтрализатора; ниже порога
P0441;ВАЗ(М74CAN);Система улавливания паров бензина; неверный расход воздуха через клапан продувки адсорбера
P0444;ВАЗ(М74CAN);Клапан продувки адсорбера; обрыв цепи управления
P0445;ВАЗ(М74CAN);Клапан продувки адсорбера; замыкание цепи
P0458;ВАЗ(М74CAN);Клапан продувки адсорбера; замыкание цепи управления на массу
P0459;ВАЗ(М74CAN);Клапан продувки адсорбера; замыкание цепи управления на бортовую сеть
P0480;ВАЗ(М74CAN);Реле вентилятора охлаждения 1; обрыв цепи управления
P0481;ВАЗ(М74CAN);Реле вентилятора охлаждения 2; обрыв цепи управления
P0482;ВАЗ(М74CAN);Реле вентилятора охлаждения 3; обрыв цепи управления
P0485;ВАЗ(М74CAN);Вентилятор охлаждения; напряжение больше или меньше нижнего порогового значения
P0500;ВАЗ(М74CAN);Датчик скорости автомобиля; неисправность
P0501;ВАЗ(М74CAN);Датчик скорости автомобиля; выход за пределы диапазона
P0502;ВАЗ(М74CAN);Датчик скорости автомобиля; низкий уровень сигнала
P0503;ВАЗ(М74CAN);Датчик скорости автомобиля; высокий уровень сигнала
Р0504;ВАЗ(М74CAN);Датчик педали тормоза; рассогласование сигналов A и B датчиков
Р0505;ВАЗ(М74CAN);Система ХХ; неисправность
Р0506;ВАЗ(М74CAN);Система ХХ; обороты ниже необходимого значения
Р0507;ВАЗ(М74CAN);Система ХХ; обороты выше необходимого значения
Р0508;ВАЗ(М74CAN);Система ХХ; замыкание цепи управления на массу
Р0509;ВАЗ(М74CAN);Система ХХ; замыкание цепи управления на бортовую сеть
Р0511;ВАЗ(М74CAN);Система ХХ; неисправность цепи управления
P0522;ВАЗ(М74CAN);Цепь датчика давления масла; низкий уровень сигнала
P0523;ВАЗ(М74CAN);Цепь датчика давления масла; высокий уровень сигнала
P0560;ВАЗ(М74CAN);Напряжение бортовой сети; неисправность
P0561;ВАЗ(М74CAN);Напряжение бортовой сети; нестабильность
P0562;ВАЗ(М74CAN);Напряжение бортовой сети; низкий уровень
P0563;ВАЗ(М74CAN);Напряжение бортовой сети; высокий уровень
P0601;ВАЗ(М74CAN);Контроллер системы управления двигателем; ошибка контрольной суммы ПЗУ
P0603;ВАЗ(М74CAN);Контроллер системы управления двигателем; ошибка IRAM
P0604;ВАЗ(М74CAN);Контроллер системы управления двигателем; ошибка XRAM
P0606;ВАЗ(М74CAN);ECM/PCM Processor; ECM/PCM Processor
P0615;ВАЗ(М74CAN);Дополнительное реле стартера; обрыв цепи управления
P0616;ВАЗ(М74CAN);Дополнительное реле стартера; замыкание цепи управления на массу
P0617;ВАЗ(М74CAN);Дополнительное реле стартера; замыкание цепи управления на бортовую сеть
P0627;ВАЗ(М74CAN);Бензонасос A; обрыв цепи управления
P0628;ВАЗ(М74CAN);Бензонасос A; замыкание цепи управления на массу
P0629;ВАЗ(М74CAN);Бензонасос A; замыкание цепи управления на бортовую сеть
P0630;ВАЗ(М74CAN);VIN; не записан или некорректен
P0645;ВАЗ(М74CAN);Реле муфты компрессора кондиционера; обрыв цепи управления
P0646;ВАЗ(М74CAN);Реле муфты компрессора кондиционера; замыкание цепи управления на массу
P0647;ВАЗ(М74CAN);Реле муфты компрессора кондиционера; замыкание цепи управления на борт. сеть
P0650;ВАЗ(М74CAN);Лампа индикации неисправности; цепь управления неисправна
P0654;ВАЗ(М74CAN);Цепь выходного сигнала оборотов двигателя; цепь управления неиспрана
P0660;ВАЗ(М74CAN);Клапан управления длиной каналов системы впуска; обрыв цепи управления
P0661;ВАЗ(М74CAN);Клапан управления длиной каналов системы впуска; замыкание цепи управления на массу
P0662;ВАЗ(М74CAN);Клапан управления длиной каналов системы впуска; замыкание цепи управления на борт. сеть
P0685;ВАЗ(М74CAN);Главное реле; обрыв цепи управления
P0686;ВАЗ(М74CAN);Главное реле; замыкание цепи управления на массу
P0687;ВАЗ(М74CAN);Главное реле; замыкание цепи управления на бортовую сеть
P0688;ВАЗ(М74CAN);Цепь проверки главного реле; обрыв цепи
P0689;ВАЗ(М74CAN);Цепь проверки главного реле; низкий уровень сигнала
P0690;ВАЗ(М74CAN);Цепь проверки главного реле; высокий уровень сигнала
P0691;ВАЗ(М74CAN);Цепь проверки вентилятора охлаждения 1; низкий уровень сигнала
P0692;ВАЗ(М74CAN);Цепь проверки вентилятора охлаждения 1; высокий уровень сигнала
P0693;ВАЗ(М74CAN);Цепь проверки вентилятора охлаждения 2; низкий уровень сигнала
P0694;ВАЗ(М74CAN);Цепь проверки вентилятора охлаждения 2; высокий уровень сигнала
P0695;ВАЗ(М74CAN);Цепь проверки вентилятора охлаждения 3; низкий уровень сигнала
P0696;ВАЗ(М74CAN);Цепь проверки вентилятора охлаждения 3; высокий уровень сигнала
P0830;ВАЗ(М74CAN);Выключатель педали сцепления; цепь неисправна
P1140;ВАЗ(М74CAN);Расчитанная нагрузка; выход за пределы
P1301;ВАЗ(М74CAN);Цилиндр 1; обнаружены пропуски воспламенения; критичные для нейтрализатора
P1302;ВАЗ(М74CAN);Цилиндр 2; обнаружены пропуски воспламенения; критичные для нейтрализатора
P1303;ВАЗ(М74CAN);Цилиндр 3; обнаружены пропуски воспламенения; критичные для нейтрализатора
P1304;ВАЗ(М74CAN);Цилиндр 4; обнаружены пропуски воспламенения; критичные для нейтрализатора
P1335;ВАЗ(М74CAN);Мониторинг управления приводом ДЗ; положение заслонки вне допустимого диапазона
P1336;ВАЗ(М74CAN);Мониторинг управления приводом ДЗ; расслогласование показаний датчиков
P1388;ВАЗ(М74CAN);Мониторинг управления приводом ДЗ; напряжения датчиков положения заслонки вне допустимого диапазона
P1389;ВАЗ(М74CAN);Мониторинг управления приводом ДЗ; обороты двигателя вне допустимого диапазона
P1390;ВАЗ(М74CAN);Мониторинг управления приводом ДЗ; реакция на наисправность некорректна
P1391;ВАЗ(М74CAN);Мониторинг управления приводом ДЗ; отсутствует реакция на наисправность в системе
P1545;ВАЗ(М74CAN);Привод ДЗ; превышение отклонения положения заслонки от желаемого
P1558;ВАЗ(М74CAN);Привод ДЗ; ошибка проверки пружины
P1559;ВАЗ(М74CAN);Привод ДЗ; исходное положение не правдоподобное
P1564;ВАЗ(М74CAN);Система привода ДЗ; прерывание адаптации из-за низкого напряжения на аккумуляторе 
P1570;ВАЗ(М74CAN);Иммобилизатор; цепь неисправна
P1578;ВАЗ(М74CAN);Система привода ДЗ; адаптация не правдоподобна 
P1579;ВАЗ(М74CAN);Система привода ДЗ; прерывание адаптации из-за внешних факторов 
P1602;ВАЗ(М74CAN);Контроллер системы управления двигателем; длительное пропадание напряжения питания
P1603;ВАЗ(М74CAN);Мониторинг управления приводом ДЗ; неисправность ЦПУ мониторинга ДЗ
Р1606;ВАЗ(М74CAN);Цепь датчика неровной дороги; выход сигнала из допустимого диапазона
Р1616;ВАЗ(М74CAN);Цепь датчика неровной дороги; низкий уровень сигнала
Р1617;ВАЗ(М74CAN);Цепь датчика неровной дороги; высокий уровень сигнала
Р1640;ВАЗ(М74CAN);Контроллер; Ошибка теста EEPROM
P2100;ВАЗ(М74CAN);Привод ДЗ; обрыв цепи
P2101;ВАЗ(М74CAN);Привод ДЗ; выход сигнала из допустимого диапазона
P2102;ВАЗ(М74CAN);Привод ДЗ; замыкание цепи на массу
P2103;ВАЗ(М74CAN);Привод ДЗ; замыкание цепи на борт. сеть
P2105;ВАЗ(М74CAN);Система привода ДЗ; экстренная остановка двигателя 
P2106;ВАЗ(М74CAN);Система привода ДЗ; экстренное ограничение мощности
P2110;ВАЗ(М74CAN);Система привода ДЗ; экстренное ограничение оборотов 
P2111;ВАЗ(М74CAN);Система привода ДЗ; заклинивание при открытии 
P2112;ВАЗ(М74CAN);Система привода ДЗ; заклинивание при закрытии 
P2120;ВАЗ(М74CAN);Цепь датчика A педали газа; цепь неисправна
P2121;ВАЗ(М74CAN);Цепь датчика A педали газа; выход сигнала из допустимого диапазона
P2122;ВАЗ(М74CAN);Цепь датчика A педали газа; низкий уровень сигнала
P2123;ВАЗ(М74CAN);Цепь датчика A педали газа; высокий уровень сигнала
P2125;ВАЗ(М74CAN);Цепь датчика B педали газа; цепь неисправна
P2126;ВАЗ(М74CAN);Цепь датчика B педали газа; выход сигнала из допустимого диапазона
P2127;ВАЗ(М74CAN);Цепь датчика B педали газа; низкий уровень сигнала
P2128;ВАЗ(М74CAN);Цепь датчика B педали газа; высокий уровень сигнала
P2135;ВАЗ(М74CAN);Датчик положения дроссельной заслонки; рассогласование сигналов A и B датчиков
Р2138;ВАЗ(М74CAN);Датчик положения педали газа; рассогласование сигналов A и B датчиков
P2176;ВАЗ(М74CAN);Система привода ДЗ; не проведено обучение положения ДЗ при ХХ 
Р2187;ВАЗ(М74CAN);Система топливоподачи; слишком бедная смесь на ХХ
Р2188;ВАЗ(М74CAN);Система топливоподачи; слишком богатая смесь на ХХ
P2270;ВАЗ(М74CAN);Датчик кислорода после нейтрализатора; сигнал "завис" в нижнем положении
P2271;ВАЗ(М74CAN);Датчик кислорода после нейтрализатора; сигнал "завис" в верхнем положении
P2301;ВАЗ(М74CAN);Катушка зажигания цилиндра A (1-4); замыкание цепи управления на борт. сеть
P2304;ВАЗ(М74CAN);Катушка зажигания цилиндра B (2-3); замыкание цепи управления на борт. сеть
P2307;ВАЗ(М74CAN);Катушка зажигания цилиндра C; замыкание цепи управления на борт. сеть
P2310;ВАЗ(М74CAN);Катушка зажигания цилиндра D; замыкание цепи управления на борт. сеть
P2500;ВАЗ(М74CAN);Лампа генератора; низкий уровень сигнала
P2501;ВАЗ(М74CAN);Лампа генератора; высокий уровень сигнала
U0001;ВАЗ(М74CAN);CAN-шина; 
U0002;ВАЗ(М74CAN);CAN-шина; производительность
U0009;ВАЗ(М74CAN);CAN-шина; замыкание между + и - 
U0121;ВАЗ(М74CAN);CAN-шина; потеря связи с ABS
U0122;ВАЗ(М74CAN);CAN-шина; потеря связи с ESC
U0155;ВАЗ(М74CAN);CAN-шина; потеря связи с комбинацией приборов
U0305;ВАЗ(М74CAN);CAN-шина; несовместимость прошивки с модулем круиз контроля
U0415;ВАЗ(М74CAN);CAN-шина; неверные данные от ABS
U0416;ВАЗ(М74CAN);CAN-шина; неверные данные от ESC
